mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5408188819885253,0.06162034448407241,0.039402198791503903,0.01196850509937168,200,10,30,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__max_depth': 30}",0.9974968710888611,1.0,0.95703125,0.9934895833333334,0.9596354166666667,0.9815306242177723,0.019071838059451892,14
0.30934672355651854,0.04708270823416251,0.019315481185913086,0.0023449432181560756,100,5,10,"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__max_depth': 10}",0.9962453066332916,1.0,0.9635416666666666,0.9960937500000001,0.9576822916666667,0.9827126029933251,0.018193870083289244,6
0.6859876155853272,0.20726174229023495,0.04101309776306152,0.019350839300617866,200,10,20,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__max_depth': 20}",0.9974968710888611,1.0,0.95703125,0.9934895833333334,0.9596354166666667,0.9815306242177723,0.019071838059451892,14
0.12886514663696289,0.010456275366955713,0.01279139518737793,0.0015914846300807504,50,5,30,"{'model__n_estimators': 50, 'model__min_samples_split': 5, 'model__max_depth': 30}",0.9949937421777221,1.0,0.9518229166666666,0.9973958333333334,0.9622395833333334,0.981290415102211,0.02014190602460584,18
0.294693660736084,0.021076624231410657,0.0445502758026123,0.02874397404171353,100,10,10,"{'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__max_depth': 10}",0.9962453066332916,1.0,0.9596354166666666,0.9934895833333334,0.9596354166666666,0.9818011446599917,0.018215876286174593,12
0.3536823749542236,0.1298998198856396,0.0277374267578125,0.00921527202573459,100,5,30,"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__max_depth': 30}",0.9962453066332916,1.0,0.9635416666666666,0.9960937500000001,0.9576822916666667,0.9827126029933251,0.018193870083289244,6
0.24467058181762696,0.07813480973405547,0.01686835289001465,0.010600944220574428,50,5,20,"{'model__n_estimators': 50, 'model__min_samples_split': 5, 'model__max_depth': 20}",0.9949937421777221,1.0,0.9518229166666666,0.9973958333333334,0.9622395833333334,0.981290415102211,0.02014190602460584,18
0.16675891876220703,0.06887115132310846,0.01691412925720215,0.005303528038494635,50,5,10,"{'model__n_estimators': 50, 'model__min_samples_split': 5, 'model__max_depth': 10}",0.9949937421777221,1.0,0.9518229166666666,0.9973958333333334,0.9622395833333334,0.981290415102211,0.02014190602460584,18
0.7246046543121338,0.31309098822943093,0.048677682876586914,0.024403331618089746,200,10,,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__max_depth': None}",0.9974968710888611,1.0,0.95703125,0.9934895833333334,0.9596354166666667,0.9815306242177723,0.019071838059451892,14
0.6289456367492676,0.16059707486567668,0.04539532661437988,0.023016351668963105,200,10,10,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__max_depth': 10}",0.9974968710888611,1.0,0.95703125,0.9934895833333334,0.9596354166666667,0.9815306242177723,0.019071838059451892,14
0.12584962844848632,0.017485573569734743,0.016071891784667967,0.011121042341441638,50,2,10,"{'model__n_estimators': 50, 'model__min_samples_split': 2, 'model__max_depth': 10}",0.997496871088861,1.0,0.9615885416666666,0.9986979166666667,0.9635416666666667,0.9842649992177723,0.017746323720742977,1
0.26755647659301757,0.04067817357565526,0.018378257751464844,0.0016777859534252233,100,10,30,"{'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__max_depth': 30}",0.9962453066332916,1.0,0.9596354166666666,0.9934895833333334,0.9596354166666666,0.9818011446599917,0.018215876286174593,12
0.2198328495025635,0.0664183402529161,0.01451416015625,0.004952258726957123,50,2,,"{'model__n_estimators': 50, 'model__min_samples_split': 2, 'model__max_depth': None}",0.997496871088861,1.0,0.9615885416666666,0.9986979166666667,0.9635416666666667,0.9842649992177723,0.017746323720742977,1
0.2532327651977539,0.017246438677091146,0.018634891510009764,0.0014626069969412832,100,5,,"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__max_depth': None}",0.9962453066332916,1.0,0.9635416666666666,0.9960937500000001,0.9576822916666667,0.9827126029933251,0.018193870083289244,6
0.7231053352355957,0.14948971943358114,0.051954793930053714,0.017265020261133555,200,2,30,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__max_depth': 30}",1.0,1.0,0.9576822916666667,0.9973958333333334,0.9576822916666665,0.9825520833333334,0.020328352521358926,9
0.1267777919769287,0.014699309752144491,0.015709447860717773,0.007690930715924109,50,10,10,"{'model__n_estimators': 50, 'model__min_samples_split': 10, 'model__max_depth': 10}",0.9924906132665832,1.0,0.9596354166666667,0.99609375,0.9635416666666666,0.9823522893199833,0.017163629418422508,11
0.2678896427154541,0.019257546733712962,0.017924690246582033,0.00028281828896572353,100,2,20,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__max_depth': 20}",0.9962453066332917,0.9999999999999999,0.9622395833333333,0.9973958333333333,0.958984375,0.9829730196599916,0.018327136545524675,4
0.6566627979278564,0.13817167806772307,0.03075747489929199,0.0018431300262670813,200,5,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_depth': None}",0.9987484355444305,1.0,0.9622395833333334,0.99609375,0.9583333333333333,0.9830830204422194,0.01869686815382998,3
0.5440889835357666,0.09224864618127072,0.03263978958129883,0.0038327209656845726,200,2,10,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__max_depth': 10}",1.0,1.0,0.9576822916666667,0.9973958333333334,0.9576822916666665,0.9825520833333334,0.020328352521358926,9
0.2375467300415039,0.009176955254290853,0.01571688652038574,0.0030416185079755616,100,2,,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__max_depth': None}",0.9962453066332917,0.9999999999999999,0.9622395833333333,0.9973958333333333,0.958984375,0.9829730196599916,0.018327136545524675,4
